Date,People
26-Nov,2
26-Nov,5
26-Nov,10
26-Nov,1
26-Nov,0
26-Nov,2
26-Nov,1
26-Nov,3
26-Nov,3
26-Nov,12
26-Nov,17
26-Nov,60
26-Nov,37
26-Nov,35
26-Nov,32
26-Nov,32
26-Nov,44
26-Nov,26
26-Nov,30
26-Nov,53
26-Nov,45
26-Nov,36
26-Nov,40
26-Nov,51
26-Nov,30
26-Nov,24
26-Nov,19
26-Nov,34
26-Nov,32
26-Nov,46
26-Nov,27
26-Nov,56
26-Nov,22
26-Nov,18
26-Nov,21
26-Nov,4
26-Nov,8
26-Nov,2
26-Nov,9
26-Nov,0
26-Nov,1
26-Nov,2
27-Nov,2
27-Nov,1
27-Nov,1
27-Nov,0
27-Nov,0
27-Nov,1
27-Nov,4
27-Nov,2
27-Nov,0
27-Nov,6
27-Nov,1
27-Nov,2
27-Nov,0
27-Nov,4
27-Nov,6
27-Nov,6
27-Nov,24
27-Nov,49
27-Nov,42
27-Nov,28
27-Nov,35
27-Nov,17
27-Nov,21
27-Nov,24
27-Nov,20
27-Nov,44
27-Nov,36
27-Nov,31
27-Nov,47
27-Nov,26
27-Nov,26
27-Nov,19
27-Nov,30
27-Nov,21
27-Nov,26
27-Nov,30
27-Nov,24
27-Nov,35
27-Nov,14
27-Nov,17
27-Nov,12
27-Nov,5
27-Nov,11
27-Nov,5
27-Nov,6
27-Nov,5
27-Nov,2
27-Nov,0
28-Nov,0
28-Nov,0
28-Nov,1
28-Nov,2
28-Nov,2
28-Nov,0
28-Nov,2
28-Nov,1
28-Nov,1
28-Nov,0
28-Nov,4
28-Nov,0
28-Nov,1
28-Nov,5
28-Nov,1
28-Nov,12
28-Nov,16
28-Nov,41
28-Nov,33
28-Nov,32
28-Nov,42
28-Nov,27
28-Nov,31
28-Nov,21
28-Nov,26
28-Nov,49
28-Nov,38
28-Nov,33
28-Nov,31
28-Nov,40
28-Nov,18
28-Nov,21
28-Nov,20
28-Nov,13
28-Nov,23
28-Nov,30
28-Nov,27
28-Nov,20
28-Nov,16
28-Nov,18
28-Nov,14
28-Nov,6
28-Nov,8
28-Nov,4
28-Nov,6
28-Nov,2
28-Nov,2
28-Nov,7
29-Nov,2
29-Nov,0
29-Nov,0
29-Nov,1
29-Nov,0
29-Nov,0
29-Nov,5
29-Nov,0
29-Nov,2
29-Nov,3
29-Nov,2
29-Nov,0
29-Nov,0
29-Nov,3
29-Nov,3
29-Nov,14
29-Nov,31
29-Nov,40
29-Nov,38
29-Nov,35
29-Nov,38
29-Nov,80
29-Nov,29
29-Nov,30
29-Nov,41
29-Nov,73
29-Nov,62
29-Nov,48
29-Nov,38
29-Nov,35
29-Nov,31
29-Nov,34
29-Nov,38
29-Nov,25
29-Nov,22
29-Nov,29
29-Nov,20
29-Nov,25
29-Nov,13
29-Nov,21
29-Nov,12
29-Nov,14
29-Nov,9
29-Nov,4
29-Nov,5
29-Nov,3
29-Nov,3
29-Nov,0
30-Nov,4
30-Nov,0
30-Nov,0
30-Nov,0
30-Nov,0
30-Nov,0
30-Nov,0
30-Nov,0
30-Nov,0
30-Nov,0
30-Nov,3
30-Nov,0
30-Nov,1
30-Nov,0
30-Nov,2
30-Nov,2
30-Nov,1
30-Nov,8
30-Nov,7
30-Nov,38
30-Nov,27
30-Nov,21
30-Nov,10
30-Nov,41
30-Nov,22
30-Nov,36
30-Nov,44
30-Nov,54
30-Nov,26
30-Nov,19
30-Nov,25
30-Nov,53
30-Nov,30
30-Nov,18
30-Nov,36
30-Nov,15
30-Nov,9
30-Nov,9
30-Nov,10
30-Nov,7
30-Nov,10
30-Nov,6
30-Nov,5
30-Nov,4
30-Nov,2
30-Nov,0
30-Nov,3
30-Nov,1
1-Dec,4
1-Dec,1
1-Dec,0
1-Dec,1
1-Dec,0
1-Dec,1
1-Dec,0
1-Dec,1
1-Dec,2
1-Dec,0
1-Dec,0
1-Dec,0
1-Dec,0
1-Dec,0
1-Dec,3
1-Dec,2
1-Dec,0
1-Dec,4
1-Dec,0
1-Dec,22
1-Dec,13
1-Dec,7
1-Dec,6
1-Dec,31
1-Dec,22
1-Dec,9
1-Dec,29
1-Dec,33
1-Dec,26
1-Dec,18
1-Dec,16
1-Dec,49
1-Dec,6
1-Dec,11
1-Dec,8
1-Dec,38
1-Dec,12
1-Dec,13
1-Dec,26
1-Dec,8
1-Dec,8
1-Dec,8
1-Dec,4
1-Dec,3
1-Dec,5
1-Dec,2
1-Dec,2
1-Dec,1
2-Dec,2
2-Dec,1
2-Dec,1
2-Dec,0
2-Dec,0
2-Dec,0
2-Dec,5
2-Dec,1
2-Dec,0
2-Dec,8
2-Dec,0
2-Dec,1
2-Dec,1
2-Dec,3
2-Dec,9
2-Dec,10
2-Dec,14
2-Dec,52
2-Dec,42
2-Dec,35
2-Dec,25
2-Dec,22
2-Dec,28
2-Dec,19
2-Dec,34
2-Dec,42
2-Dec,40
2-Dec,32
2-Dec,37
2-Dec,19
2-Dec,37
2-Dec,31
2-Dec,13
2-Dec,26
2-Dec,35
2-Dec,44
2-Dec,26
2-Dec,32
2-Dec,40
2-Dec,30
2-Dec,37
2-Dec,7
2-Dec,5
2-Dec,1
2-Dec,1
2-Dec,4
2-Dec,0
2-Dec,2
3-Dec,1
3-Dec,0
3-Dec,3
3-Dec,1
3-Dec,0
3-Dec,1
3-Dec,3
3-Dec,3
3-Dec,0
3-Dec,8
3-Dec,0
3-Dec,1
3-Dec,6
3-Dec,8
3-Dec,4
3-Dec,6
3-Dec,18
3-Dec,43
3-Dec,37
3-Dec,33
3-Dec,17
3-Dec,27
3-Dec,14
3-Dec,12
3-Dec,24
3-Dec,28
3-Dec,37
3-Dec,45
3-Dec,27
3-Dec,30
3-Dec,15
3-Dec,22
3-Dec,21
3-Dec,26
3-Dec,18
3-Dec,19
3-Dec,16
3-Dec,23
3-Dec,26
3-Dec,21
3-Dec,11
3-Dec,5
3-Dec,3
3-Dec,5
3-Dec,2
3-Dec,1
3-Dec,2
3-Dec,3
4-Dec,0
4-Dec,0
4-Dec,1
4-Dec,0
4-Dec,0
4-Dec,0
4-Dec,4
4-Dec,1
4-Dec,1
4-Dec,4
4-Dec,0
4-Dec,1
4-Dec,0
4-Dec,3
4-Dec,4
4-Dec,7
4-Dec,11
4-Dec,49
4-Dec,43
4-Dec,30
4-Dec,27
4-Dec,19
4-Dec,27
4-Dec,23
4-Dec,25
4-Dec,42
4-Dec,34
4-Dec,34
4-Dec,35
4-Dec,26
4-Dec,28
4-Dec,29
4-Dec,21
4-Dec,16
4-Dec,29
4-Dec,30
4-Dec,15
4-Dec,15
4-Dec,16
4-Dec,17
4-Dec,10
4-Dec,11
4-Dec,10
4-Dec,4
4-Dec,3
4-Dec,2
4-Dec,1
4-Dec,1
5-Dec,0
5-Dec,3
5-Dec,3
5-Dec,1
5-Dec,0
5-Dec,0
5-Dec,3
5-Dec,1
5-Dec,2
5-Dec,4
5-Dec,1
5-Dec,0
5-Dec,0
5-Dec,4
5-Dec,3
5-Dec,25
5-Dec,52
5-Dec,91
5-Dec,60
5-Dec,41
5-Dec,68
5-Dec,82
5-Dec,46
5-Dec,39
5-Dec,63
5-Dec,74
5-Dec,72
5-Dec,53
5-Dec,37
5-Dec,35
5-Dec,42
5-Dec,50
5-Dec,41
5-Dec,18
5-Dec,36
5-Dec,26
5-Dec,24
5-Dec,21
5-Dec,24
5-Dec,21
5-Dec,9
5-Dec,7
5-Dec,6
5-Dec,5
5-Dec,3
5-Dec,5
5-Dec,0
5-Dec,0
6-Dec,3
6-Dec,0
6-Dec,1
6-Dec,0
6-Dec,0
6-Dec,0
6-Dec,0
6-Dec,4
6-Dec,2
6-Dec,3
6-Dec,3
6-Dec,0
6-Dec,2
6-Dec,0
6-Dec,4
6-Dec,13
6-Dec,21
6-Dec,67
6-Dec,54
6-Dec,36
6-Dec,40
6-Dec,34
6-Dec,17
6-Dec,25
6-Dec,37
6-Dec,41
6-Dec,33
6-Dec,37
6-Dec,32
6-Dec,33
6-Dec,40
6-Dec,26
6-Dec,25
6-Dec,31
6-Dec,25
6-Dec,9
6-Dec,28
6-Dec,11
6-Dec,26
6-Dec,17
6-Dec,22
6-Dec,15
6-Dec,12
6-Dec,3
6-Dec,5
6-Dec,5
6-Dec,3
6-Dec,0
7-Dec,1
7-Dec,0
7-Dec,0
7-Dec,5
7-Dec,0
7-Dec,0
7-Dec,0
7-Dec,0
7-Dec,0
7-Dec,2
7-Dec,0
7-Dec,0
7-Dec,0
7-Dec,1
7-Dec,8
7-Dec,18
7-Dec,53
7-Dec,23
7-Dec,17
7-Dec,17
7-Dec,15
7-Dec,19
7-Dec,13
7-Dec,37
7-Dec,14
